provider	id	group	display_name
3d	3d:tessellate	Vector geometry	Tessellate
gdal	gdal:aspect	Raster analysis	Aspect
gdal	gdal:assignprojection	Raster projections	Assign projection
gdal	gdal:buffervectors	Vector geoprocessing	Buffer vectors
gdal	gdal:buildvirtualraster	Raster miscellaneous	Build virtual raster
gdal	gdal:buildvirtualvector	Vector miscellaneous	Build virtual vector
gdal	gdal:cliprasterbyextent	Raster extraction	Clip raster by extent
gdal	gdal:cliprasterbymasklayer	Raster extraction	Clip raster by mask layer
gdal	gdal:clipvectorbyextent	Vector geoprocessing	Clip vector by extent
gdal	gdal:clipvectorbypolygon	Vector geoprocessing	Clip vector by mask layer
gdal	gdal:colorrelief	Raster analysis	Color relief
gdal	gdal:contour	Raster extraction	Contour
gdal	gdal:contour_polygon	Raster extraction	Contour Polygons
gdal	gdal:convertformat	Vector conversion	Convert format
gdal	gdal:createcog	Raster conversion	Create Cloud Optimized GeoTIFF
gdal	gdal:dataset_identify	Miscellaneous	Dataset identification
gdal	gdal:dissolve	Vector geoprocessing	Dissolve
gdal	gdal:executesql	Vector miscellaneous	Execute SQL
gdal	gdal:extractprojection	Raster projections	Extract projection
gdal	gdal:fillnodata	Raster analysis	Fill NoData
gdal	gdal:gdal2tiles	Raster miscellaneous	gdal2tiles
gdal	gdal:gdal2xyz	Raster conversion	gdal2xyz
gdal	gdal:gdalinfo	Raster miscellaneous	Raster information
gdal	gdal:gridaverage	Raster analysis	Grid (Moving average)
gdal	gdal:griddatametrics	Raster analysis	Grid (Data metrics)
gdal	gdal:gridinversedistance	Raster analysis	Grid (Inverse distance to a power)
gdal	gdal:gridinversedistancenearestneighbor	Raster analysis	Grid (IDW with nearest neighbor searching)
gdal	gdal:gridlinear	Raster analysis	Grid (Linear)
gdal	gdal:gridnearestneighbor	Raster analysis	Grid (Nearest neighbor)
gdal	gdal:hillshade	Raster analysis	Hillshade
gdal	gdal:importvectorintopostgisdatabaseavailableconnections	Vector miscellaneous	Export to PostgreSQL (available connections)
gdal	gdal:importvectorintopostgisdatabasenewconnection	Vector miscellaneous	Export to PostgreSQL (new connection)
gdal	gdal:merge	Raster miscellaneous	Merge
gdal	gdal:nearblack	Raster analysis	Near black
gdal	gdal:offsetcurve	Vector geoprocessing	Offset curve
gdal	gdal:ogrinfo	Vector miscellaneous	Vector information
gdal	gdal:ogrinfojson	Vector miscellaneous	Vector information (JSON)
gdal	gdal:onesidebuffer	Vector geoprocessing	One side buffer
gdal	gdal:overviews	Raster miscellaneous	Build overviews (pyramids)
gdal	gdal:pansharp	Raster miscellaneous	Pansharpening
gdal	gdal:pcttorgb	Raster conversion	PCT to RGB
gdal	gdal:pointsalonglines	Vector geoprocessing	Points along lines
gdal	gdal:polygonize	Raster conversion	Polygonize (raster to vector)
gdal	gdal:proximity	Raster analysis	Proximity (raster distance)
gdal	gdal:rastercalculator	Raster miscellaneous	Raster calculator
gdal	gdal:rasterize	Vector conversion	Rasterize (vector to raster)
gdal	gdal:rasterize_over	Vector conversion	Rasterize (overwrite with attribute)
gdal	gdal:rasterize_over_fixed_value	Vector conversion	Rasterize (overwrite with fixed value)
gdal	gdal:rearrange_bands	Raster conversion	Rearrange bands
gdal	gdal:retile	Raster miscellaneous	Retile
gdal	gdal:rgbtopct	Raster conversion	RGB to PCT
gdal	gdal:roughness	Raster analysis	Roughness
gdal	gdal:sieve	Raster analysis	Sieve
