name	group	args
aggregate	Aggregates	6
array_agg	Aggregates	4
collect	Aggregates	3
concatenate	Aggregates	5
concatenate_unique	Aggregates	5
count	Aggregates	3
count_distinct	Aggregates	3
count_missing	Aggregates	3
iqr	Aggregates	3
majority	Aggregates	3
max_length	Aggregates	3
maximum	Aggregates	3
mean	Aggregates	3
median	Aggregates	3
min_length	Aggregates	3
minimum	Aggregates	3
minority	Aggregates	3
q1	Aggregates	3
q3	Aggregates	3
range	Aggregates	3
relation_aggregate	Aggregates	5
stdev	Aggregates	3
sum	Aggregates	3
array	Arrays	-1
array_all	Arrays	2
array_append	Arrays	2
array_cat	Arrays	-1
array_contains	Arrays	2
array_count	Arrays	2
array_distinct	Arrays	1
array_filter	Arrays	3
array_find	Arrays	2
array_first	Arrays	1
array_foreach	Arrays	2
array_get	Arrays	2
array_insert	Arrays	3
array_intersect	Arrays	2
array_last	Arrays	1
array_length	Arrays	1
array_majority	Arrays	2
array_max	Arrays	1
array_mean	Arrays	1
array_median	Arrays	1
array_min	Arrays	1
array_minority	Arrays	2
array_prepend	Arrays	2
array_prioritize	Arrays	2
array_remove_all	Arrays	2
array_remove_at	Arrays	2
array_replace	Arrays	-1
array_reverse	Arrays	1
array_slice	Arrays	3
array_sort	Arrays	2
array_sum	Arrays	1
array_to_string	Arrays	3
generate_series	Arrays	3
geometries_to_array	Arrays	1
regexp_matches	Arrays	3
string_to_array	Arrays	3
crs_from_text	CRS	1
crs_to_authid	CRS	1
color_cmyk	Color	4
color_cmyka	Color	5
color_cmykf	Color	5
color_grayscale_average	Color	1
color_hsl	Color	3
color_hsla	Color	4
color_hslf	Color	4
color_hsv	Color	3
color_hsva	Color	4
color_hsvf	Color	4
color_mix	Color	3
color_mix_rgb	Color	3
color_part	Color	2
color_rgb	Color	3
color_rgba	Color	4
color_rgbf	Color	4
create_ramp	Color	2
darker	Color	2
lighter	Color	2
project_color	Color	1
project_color_object	Color	1
ramp_color	Color	2
ramp_color_object	Color	2
set_color_part	Color	3
coalesce	Conditionals	-1
if	Conditionals	3
nullif	Conditionals	2
regexp_match	Conditionals	2
try	Conditionals	2
extract_degrees	Conversions	1
extract_minutes	Conversions	1
extract_seconds	Conversions	1
from_base64	Conversions	1
hash	Conversions	2
md5	Conversions	1
sha256	Conversions	1
to_base64	Conversions	1
to_bool	Conversions	1
to_date	Conversions	3
to_datetime	Conversions	3
to_decimal	Conversions	1
to_dm	Conversions	4
to_dms	Conversions	4
to_int	Conversions	1
to_interval	Conversions	1
to_real	Conversions	1
to_string	Conversions	1
to_time	Conversions	3
age	Date and Time	2
convert_timezone	Date and Time	2
datetime_from_epoch	Date and Time	1
day	Date and Time	1
day_of_week	Date and Time	1
epoch	Date and Time	1
get_timezone	Date and Time	1
hour	Date and Time	1
make_date	Date and Time	3
make_datetime	Date and Time	6
make_interval	Date and Time	7
make_time	Date and Time	3
minute	Date and Time	1
month	Date and Time	1
now	Date and Time	0
second	Date and Time	1
set_timezone	Date and Time	2
timezone_from_id	Date and Time	1
timezone_id	Date and Time	1
week	Date and Time	1
year	Date and Time	1
base_file_name	Files and Paths	1
exif	Files and Paths	2
file_exists	Files and Paths	1
file_name	Files and Paths	1
file_path	Files and Paths	1
file_size	Files and Paths	1
file_suffix	Files and Paths	1
is_directory	Files and Paths	1
is_file	Files and Paths	1
current_parent_value	Form	1
current_value	Form	1
hamming_distance	Fuzzy Matching	2
levenshtein	Fuzzy Matching	2
longest_common_substring	Fuzzy Matching	2
soundex	Fuzzy Matching	1
env	General	1
eval	General	1
eval_template	General	1
is_layer_visible	General	1
mime_type	General	1
var	General	1
with_variable	General	3
$area	GeometryGroup	0
$geometry	GeometryGroup	0
$length	GeometryGroup	0
$perimeter	GeometryGroup	0
$x	GeometryGroup	0
$x_at	GeometryGroup	1
$y	GeometryGroup	0
$y_at	GeometryGroup	1
$z	GeometryGroup	0
affine_transform	GeometryGroup	10
angle_at_vertex	GeometryGroup	2
apply_dash_pattern	GeometryGroup	6
area	GeometryGroup	1
azimuth	GeometryGroup	2
bearing	GeometryGroup	4
boundary	GeometryGroup	1
bounds	GeometryGroup	1
bounds_height	GeometryGroup	1
bounds_width	GeometryGroup	1
buffer	GeometryGroup	6
buffer_by_m	GeometryGroup	2
centroid	GeometryGroup	1
close_line	GeometryGroup	1
closest_point	GeometryGroup	2
collect_geometries	GeometryGroup	-1
combine	GeometryGroup	2
concave_hull	GeometryGroup	3
contains	GeometryGroup	2
convex_hull	GeometryGroup	1
crosses	GeometryGroup	2
densify_by_count	GeometryGroup	2
densify_by_distance	GeometryGroup	2
difference	GeometryGroup	2
disjoint	GeometryGroup	2
distance	GeometryGroup	2
distance_to_vertex	GeometryGroup	2
end_point	GeometryGroup	1
equals	GeometryGroup	2
exif_geotag	GeometryGroup	1
extend	GeometryGroup	3
exterior_ring	GeometryGroup	1
extrude	GeometryGroup	3
flip_coordinates	GeometryGroup	1
force_polygon_ccw	GeometryGroup	1
force_polygon_cw	GeometryGroup	1
force_rhr	GeometryGroup	1
geom_from_gml	GeometryGroup	1
geom_from_wkb	GeometryGroup	1
geom_from_wkt	GeometryGroup	1
geom_to_wkb	GeometryGroup	1
geom_to_wkt	GeometryGroup	2
geometry	GeometryGroup	1
geometry_n	GeometryGroup	2
geometry_type	GeometryGroup	1
hausdorff_distance	GeometryGroup	3
inclination	GeometryGroup	2
